Etichetta,stato,solo_prefisso,Stato,prefisso - Stato,prefisso_zeri,prefisso_nozeri,Stato2,,Stato,Prefisso
Wallis e Futuna +681,Wallis e Futuna,681,Wallis e Futuna,"1 - USA, Canada, Rep.Dominicana",1,1,"USA, Canada, Rep.Dominicana",,Afghanistan,93
Venezuela +58,Venezuela,58,Venezuela,7 - Federazione Russa,7,7,Federazione Russa,,Alaska,1
Vietnam +84,Vietnam,84,Vietnam,20 - Egitto,20,20,Egitto,,Albania,355
Vanuato +678,Vanuato,678,Vanuato,27 - Sudafrica,27,27,Sudafrica,,Algeria,213
Uzbekistan +998,Uzbekistan,998,Uzbekistan,30 - Grecia,30,30,Grecia,,Andorra,376
USA +1,USA,1,USA,31 - Paesi Bassi (Olanda),31,31,Paesi Bassi (Olanda),,Angola,244
Uruguay +598,Uruguay,598,Uruguay,32 - Belgio,32,32,Belgio,,Anguilla, +1 264
Ungheria +36,Ungheria,36,Ungheria,33 - Francia,33,33,Francia,,Antigua e Barbuda, +1 268
Uganda +256,Uganda,256,Uganda,34 - Spagna,34,34,Spagna,,Antille Olandesi,599
Ucraina +380,Ucraina,380,Ucraina,36 - Ungheria,36,36,Ungheria,,Arabia Saudita,966
Tuvalu +688,Tuvalu,688,Tuvalu,39 - Italia,39,39,Italia,,Argentina,54
Turks e Caicos +1 649,Turks e Caicos,1649,Turks e Caicos,40 - Romania,40,40,Romania,,Armenia,374
Turkmenistan +993,Turkmenistan,993,Turkmenistan,41 - Svizzera,41,41,Svizzera,,Aruba,297
Turchia +90,Turchia,90,Turchia,43 - Austria,43,43,Austria,,Ascensione,247
Tunisia +216,Tunisia,216,Tunisia,44 - Gran Bretagna,44,44,Gran Bretagna,,Australia Antartic, +67210-1-2
Trinidad e Tobago +1 868,Trinidad e Tobago,1868,Trinidad e Tobago,45 - Danimarca,45,45,Danimarca,,Australia,61
Tonga +676,Tonga,676,Tonga,46 - Svezia,46,46,Svezia,,Austria,43
Togo +228,Togo,228,Togo,47 - Norvegia,47,47,Norvegia,,Azerbaigian,994
Thailandia +66,Thailandia,66,Thailandia,48 - Polonia,48,48,Polonia,,Bahamas, +1 242
Tanzania +255,Tanzania,255,Tanzania,49 - Germania,49,49,Germania,,Bahrein,973
Taiwan +886,Taiwan,886,Taiwan,51 - Perù,51,51,Perù,,Bangladesh,880
Tajikistan +737,Tajikistan,737,Tajikistan,52 - Messico,52,52,Messico,,Barbados, +1 246
Swaziland +268,Swaziland,268,Swaziland,53 - Cuba,53,53,Cuba,,Belgio,32
Svizzera +41,Svizzera,41,Svizzera,54 - Argentina,54,54,Argentina,,Belize,501
Svezia +46,Svezia,46,Svezia,55 - Brasile,55,55,Brasile,,Benin,229
Sudan +249,Sudan,249,Sudan,56 - Cile,56,56,Cile,,Bermuda, +1 441
Sudafrica +27,Sudafrica,27,Sudafrica,57 - Colombia,57,57,Colombia,,Bhutan,975
Sri Lanka +94,Sri Lanka,94,Sri Lanka,58 - Venezuela,58,58,Venezuela,,Bielorussia,375
Spagna +34,Spagna,34,Spagna,60 - Malesia,60,60,Malesia,,Bolivia,591
Somalia +252,Somalia,252,Somalia,61 - Australia,61,61,Australia,,Bosnia Erzegovina,387
Slovenia +386,Slovenia,386,Slovenia,62 - Indonesia,62,62,Indonesia,,Botswana,267
Slovacchia +421,Slovacchia,421,Slovacchia,63 - Filippine,63,63,Filippine,,Brasile,55
Siria +963,Siria,963,Siria,64 - Nuova Zelanda,64,64,Nuova Zelanda,,Brunei,673
Singapore +65,Singapore,65,Singapore,65 - Singapore,65,65,Singapore,,Bulgaria,359
Sierra Leone +232,Sierra Leone,232,Sierra Leone,66 - Thailandia,66,66,Thailandia,,Burkina Faso,226
Seychelles +248,Seychelles,248,Seychelles,81 - Giappone,81,81,Giappone,,Burundi,257
Senegal +221,Senegal,221,Senegal,82 - Corea del Sud,82,82,Corea del Sud,,Cambogia,855
Sao Tomè e Principe +239,Sao Tomè e Principe,239,Sao Tomè e Principe,84 - Vietnam,84,84,Vietnam,,Camerun,237
Santa Lucia +1 758,Santa Lucia,1758,Santa Lucia,86 - Cina,86,86,Cina,,Canada,1
Samoa Occidentale +685,Samoa Occidentale,685,Samoa Occidentale,90 - Turchia,90,90,Turchia,,Capo Verde,238
Samoa Americane +684,Samoa Americane,684,Samoa Americane,91 - India,91,91,India,,Ciad,235
Saint Vincent +1 784,Saint Vincent,1784,Saint Vincent,92 - Pakistan,92,92,Pakistan,,Cile,56
Saint Pierre e Miquelon +508,Saint Pierre e Miquelon,508,Saint Pierre e Miquelon,93 - Afghanistan,93,93,Afghanistan,,Cina,86
Saint Kitts e Nevis +1 869,Saint Kitts e Nevis,1869,Saint Kitts e Nevis,94 - Sri Lanka,94,94,Sri Lanka,,Cipro,357
Saint Elena +290,Saint Elena,290,Saint Elena,98 - Iran,98,98,Iran,,Colombia,57
Ruanda +250,Ruanda,250,Ruanda,212 - Marocco,212,212,Marocco,,Comore,269
Romania +40,Romania,40,Romania,213 - Algeria,213,213,Algeria,,Congo,242
Reunion (Francia) +262,Reunion (Francia),262,Reunion (Francia),216 - Tunisia,216,216,Tunisia,,Cook,682
Rep. Dominicana +1,Rep. Dominicana,1,Rep. Dominicana,218 - Libia,218,218,Libia,,Corea del Nord,850
Rep. Democratica del Congo +243,Rep. Democratica del Congo,243,Rep. Democratica del Congo,220 - Gambia,220,220,Gambia,,Corea del Sud,82
Rep. Centrafrica +236,Rep. Centrafrica,236,Rep. Centrafrica,221 - Senegal,221,221,Senegal,,Costa d’Avorio,225
Rep. Ceca +420,Rep. Ceca,420,Rep. Ceca,222 - Mauritania,222,222,Mauritania,,Costarica,506
Qatar +974,Qatar,974,Qatar,223 - Mali,223,223,Mali,,Croazia,385
Porto Rico +1 787,Porto Rico,1787,Porto Rico,224 - Guinea,224,224,Guinea,,Cuba,53
Portogallo +351,Portogallo,351,Portogallo,225 - Costa d’Avorio,225,225,Costa d’Avorio,,Danimarca,45
Polonia +48,Polonia,48,Polonia,226 - Burkina Faso,226,226,Burkina Faso,,Diego Garcia,246
Polinesia Francese +689,Polinesia Francese,689,Polinesia Francese,228 - Togo,228,228,Togo,,Dominica, +1 767
Perù +51,Perù,51,Perù,229 - Benin,229,229,Benin,,Ecuador,593
Paraguay +595,Paraguay,595,Paraguay,230 - Mauritius,230,230,Mauritius,,Egitto,20
Papua Nuova Guinea +675,Papua Nuova Guinea,675,Papua Nuova Guinea,231 - Liberia,231,231,Liberia,,El Salvador,503
Panama +507,Panama,507,Panama,232 - Sierra Leone,232,232,Sierra Leone,,Emirati Arabi Uniti,971
Palau +680,Palau,680,Palau,233 - Ghana,233,233,Ghana,,Eritrea,291
Pakistan +92,Pakistan,92,Pakistan,234 - Nigeria,234,234,Nigeria,,Estonia,372
Paesi Bassi (Olanda) +31,Paesi Bassi (Olanda),31,Paesi Bassi (Olanda),235 - Ciad,235,235,Ciad,,Etiopia,251
Oman +968,Oman,968,Oman,236 - Rep. Centrafrica,236,236,Rep. Centrafrica,,Federazione Russa,7
Nuova Zelanda +64,Nuova Zelanda,64,Nuova Zelanda,237 - Camerun,237,237,Camerun,,Figi,679
Nuova Caledonia +687,Nuova Caledonia,687,Nuova Caledonia,238 - Capo Verde,238,238,Capo Verde,,Filippine,63
Norvegia +47,Norvegia,47,Norvegia,239 - Sao Tomè e Principe,239,239,Sao Tomè e Principe,,Finlandia,358
Niue +683,Niue,683,Niue,240 - Guinea Ecuatoriale,240,240,Guinea Ecuatoriale,,Francia,33
Nigeria +234,Nigeria,234,Nigeria,241 - Gabon,241,241,Gabon,,Gabon,241
Nicaragua +505,Nicaragua,505,Nicaragua,242 - Congo,242,242,Congo,,Gambia,220
Nepal +977,Nepal,977,Nepal,243 - Rep. Democratica del Congo,243,243,Rep. Democratica del Congo,,Georgia,995
Namibia +264,Namibia,264,Namibia,244 - Angola,244,244,Angola,,Germania,49
Mozambico +258,Mozambico,258,Mozambico,245 - Guinea Bissau,245,245,Guinea Bissau,,Ghana,233
Montserrat +1 664,Montserrat,1664,Montserrat,246 - Diego Garcia,246,246,Diego Garcia,,Giamaica, +1 876
Mongolia +976,Mongolia,976,Mongolia,247 - Ascensione,247,247,Ascensione,,Giappone,81
Monaco (Principato di) +377,Monaco (Principato di),377,Monaco (Principato di),248 - Seychelles,248,248,Seychelles,,Gibilterra,350
Moldavia +373,Moldavia,373,Moldavia,249 - Sudan,249,249,Sudan,,Gibuti,253
Messico +52,Messico,52,Messico,250 - Ruanda,250,250,Ruanda,,Giordania,962
Mauritius +230,Mauritius,230,Mauritius,251 - Etiopia,251,251,Etiopia,,Gran Bretagna,44
Mauritania +222,Mauritania,222,Mauritania,252 - Somalia,252,252,Somalia,,Grecia,30
Martinica +596,Martinica,596,Martinica,253 - Gibuti,253,253,Gibuti,,Grenada, +1 473
Marocco +212,Marocco,212,Marocco,254 - Kenia,254,254,Kenia,,Groenlandia,299
Malta +356,Malta,356,Malta,255 - Tanzania,255,255,Tanzania,,Guadalupa,590
Mali +223,Mali,223,Mali,256 - Uganda,256,256,Uganda,,Guam,671
Malesia +60,Malesia,60,Malesia,257 - Burundi,257,257,Burundi,,Guatemala,502
Maldive +960,Maldive,960,Maldive,258 - Mozambico,258,258,Mozambico,,Guinea Bissau,245
Malawi +265,Malawi,265,Malawi,260 - Zambia,260,260,Zambia,,Guinea Ecuatoriale,240
Madagascar +261,Madagascar,261,Madagascar,261 - Madagascar,261,261,Madagascar,,Guinea,224
Macedonia +389,Macedonia,389,Macedonia,262 - Reunion (Francia),262,262,Reunion (Francia),,Guyana Francese,594
Macao +853,Macao,853,Macao,263 - Zimbabwe,263,263,Zimbabwe,,Guyana,592
Lussemburgo +352,Lussemburgo,352,Lussemburgo,264 - Namibia,264,264,Namibia,,Haiti,509
Lituania +370,Lituania,370,Lituania,265 - Malawi,265,265,Malawi,,Honduras,504
Liechtenstein +423,Liechtenstein,423,Liechtenstein,266 - Lesotho,266,266,Lesotho,,Hong Kong,852
Libia +218,Libia,218,Libia,267 - Botswana,267,267,Botswana,,India,91
Liberia +231,Liberia,231,Liberia,268 - Swaziland,268,268,Swaziland,,Indonesia,62
Libano +961,Libano,961,Libano,269 - Comore,269,269,Comore,,Iran,98
